comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1949558195308019_1950751615188677,1551805975083245_1949558195308019,,that’s me!,2018-02-20 00:10:12,1,1,0,0,0,0,0,0
1949558195308019_1950752285188610,1551805975083245_1949558195308019,1949558195308019_1950751615188677,Hi Jenny! Pls check your inbox :),2018-02-20 00:12:17,0,0,0,0,0,0,0,0
1949558195308019_1950752678521904,1551805975083245_1949558195308019,1949558195308019_1950751615188677,thanks,2018-02-20 00:13:50,1,1,0,0,0,0,0,0
1949558195308019_1951128395150999,1551805975083245_1949558195308019,,That’s me!,2018-02-20 19:23:15,1,1,0,0,0,0,0,0
1949558195308019_1951134548483717,1551805975083245_1949558195308019,1949558195308019_1951128395150999,Sent to your inbox :),2018-02-20 19:53:14,0,0,0,0,0,0,0,0
1949558195308019_1950979931832512,1551805975083245_1949558195308019,,That’s me!,2018-02-20 12:07:06,1,1,0,0,0,0,0,0
1949558195308019_1951134751817030,1551805975083245_1949558195308019,1949558195308019_1950979931832512,Pls check your inbox! :),2018-02-20 19:54:07,0,0,0,0,0,0,0,0
1949558195308019_1950781228519049,1551805975083245_1949558195308019,,That's me!,2018-02-20 01:42:19,1,1,0,0,0,0,0,0
1949558195308019_1950781455185693,1551805975083245_1949558195308019,1949558195308019_1950781228519049,Pls check your inbox Patricia :),2018-02-20 01:43:34,0,0,0,0,0,0,0,0
1949558195308019_1951330281797477,1551805975083245_1949558195308019,,That's me!,2018-02-21 08:16:52,1,1,0,0,0,0,0,0
1949558195308019_1951331018464070,1551805975083245_1949558195308019,1949558195308019_1951330281797477,Pls check inbox :),2018-02-21 08:19:15,0,0,0,0,0,0,0,0
1949558195308019_1951241551806350,1551805975083245_1949558195308019,,That’s me!,2018-02-21 02:53:31,1,1,0,0,0,0,0,0
1949558195308019_1951241931806312,1551805975083245_1949558195308019,1949558195308019_1951241551806350,Sent to your inbox :),2018-02-21 02:54:27,0,0,0,0,0,0,0,0
1949558195308019_1950855658511606,1551805975083245_1949558195308019,,That's me,2018-02-20 06:22:59,1,1,0,0,0,0,0,0
1949558195308019_1950868798510292,1551805975083245_1949558195308019,1949558195308019_1950855658511606,Pls check your inbox :),2018-02-20 06:56:46,0,0,0,0,0,0,0,0
1949558195308019_1951291555134683,1551805975083245_1949558195308019,,That’s me!,2018-02-21 06:13:39,1,1,0,0,0,0,0,0
1949558195308019_1951293648467807,1551805975083245_1949558195308019,1949558195308019_1951291555134683,Sent to your inbox :),2018-02-21 06:14:23,0,0,0,0,0,0,0,0
1949558195308019_1950852651845240,1551805975083245_1949558195308019,,That's me!,2018-02-20 06:15:07,1,1,0,0,0,0,0,0
1949558195308019_1950868765176962,1551805975083245_1949558195308019,1949558195308019_1950852651845240,Pls check your inbox :),2018-02-20 06:56:38,0,0,0,0,0,0,0,0
1949558195308019_1951165018480670,1551805975083245_1949558195308019,,That’s me!,2018-02-20 21:49:29,1,1,0,0,0,0,0,0
1949558195308019_1951168741813631,1551805975083245_1949558195308019,1949558195308019_1951165018480670,Pls check inbox :),2018-02-20 22:01:41,0,0,0,0,0,0,0,0
1949558195308019_1950874778509694,1551805975083245_1949558195308019,,That’s Me!,2018-02-20 07:17:08,1,1,0,0,0,0,0,0
1949558195308019_1950880261842479,1551805975083245_1949558195308019,1949558195308019_1950874778509694,Sent you a message! :),2018-02-20 07:35:22,0,0,0,0,0,0,0,0
1949558195308019_1950740098523162,1551805975083245_1949558195308019,,That’s me!,2018-02-19 23:43:19,1,1,0,0,0,0,0,0
1949558195308019_1950741208523051,1551805975083245_1949558195308019,1949558195308019_1950740098523162,Pls check your inbox :),2018-02-19 23:48:15,0,0,0,0,0,0,0,0
1949558195308019_1950728041857701,1551805975083245_1949558195308019,,That’s me!,2018-02-19 22:57:59,1,1,0,0,0,0,0,0
1949558195308019_1950729801857525,1551805975083245_1949558195308019,1949558195308019_1950728041857701,Pls check your inbox!,2018-02-19 23:02:25,0,0,0,0,0,0,0,0
1949558195308019_1950767838520388,1551805975083245_1949558195308019,,That's me!,2018-02-20 00:46:59,1,1,0,0,0,0,0,0
1949558195308019_1950771388520033,1551805975083245_1949558195308019,1949558195308019_1950767838520388,Pls check inbox Jeslyn! :),2018-02-20 00:58:26,0,0,0,0,0,0,0,0
1949558195308019_1951137001816805,1551805975083245_1949558195308019,,That’s me,2018-02-20 20:03:20,1,1,0,0,0,0,0,0
1949558195308019_1951138561816649,1551805975083245_1949558195308019,1949558195308019_1951137001816805,Sent! Pls check inbox :),2018-02-20 20:10:19,0,0,0,0,0,0,0,0
1949558195308019_1950724335191405,1551805975083245_1949558195308019,,That’s me!,2018-02-19 22:38:55,1,1,0,0,0,0,0,0
1949558195308019_1950729721857533,1551805975083245_1949558195308019,1949558195308019_1950724335191405,Sent to your inbox! :),2018-02-19 23:02:15,0,0,0,0,0,0,0,0
1949558195308019_1950793861851119,1551805975083245_1949558195308019,,That’s me!,2018-02-20 02:43:21,1,1,0,0,0,0,0,0
1949558195308019_1950795401850965,1551805975083245_1949558195308019,1949558195308019_1950793861851119,Message sent! :),2018-02-20 02:49:32,0,0,0,0,0,0,0,0
1949558195308019_1950852761845229,1551805975083245_1949558195308019,,Angela Ang,2018-02-20 06:15:16,1,1,0,0,0,0,0,0
1949558195308019_1950753168521855,1551805975083245_1949558195308019,,So cute!!,2018-02-20 00:15:32,1,0,1,0,0,0,0,0
1949558195308019_1951293628467809,1551805975083245_1949558195308019,,That’s me!,2018-02-21 06:14:17,0,0,0,0,0,0,0,0
1949558195308019_1951241761806329,1551805975083245_1949558195308019,,That’s me!,2018-02-21 02:53:48,0,0,0,0,0,0,0,0
1949558195308019_1951355898461582,1551805975083245_1949558195308019,,That’s me,2018-02-21 09:27:52,0,0,0,0,0,0,0,0
1949558195308019_1951129685150870,1551805975083245_1949558195308019,,Tang Duong,2018-02-20 19:29:20,0,0,0,0,0,0,0,0
1949558195308019_1951129711817534,1551805975083245_1949558195308019,,Tang Duong,2018-02-20 19:29:32,0,0,0,0,0,0,0,0
1949558195308019_1950898348507337,1551805975083245_1949558195308019,,Gene Ng,2018-02-20 08:25:22,0,0,0,0,0,0,0,0
1934145610182611_1942363012694204,1551805975083245_1934145610182611,,Mario Vuong 🤣,2018-02-01 16:42:13,0,0,0,0,0,0,0,0
1934145050182667_1941222276141611,1551805975083245_1934145050182667,,"Baby A: nipple nipple nipple nipple
Baby B: stop sucking my head you blob! Wahhhhhhhhhhhh",2018-01-30 09:34:53,1,0,0,0,1,0,0,0
1934145050182667_1941211806142658,1551805975083245_1934145050182667,,Vivian Chua,2018-01-30 09:02:21,1,1,0,0,0,0,0,0
1934145050182667_1941257929471379,1551805975083245_1934145050182667,1934145050182667_1941211806142658,[[STICKER]],2018-01-30 11:01:10,0,0,0,0,0,0,0,0
1937763173154188_1937768543153651,1551805975083245_1937763173154188,,Shop now: https://www.hahanoyume.com/collections/cny-collection [[SHARE]],2018-01-23 01:51:11,0,0,0,0,0,0,0,0
1934140293516476_1937283183202187,1551805975083245_1934140293516476,,Nina Zainorin ❤,2018-01-22 03:00:17,0,0,0,0,0,0,0,0
1934140293516476_1937314949865677,1551805975083245_1934140293516476,1934140293516476_1937283183202187,Ouh so much happiness in one vid ❤️,2018-01-22 04:51:53,1,1,0,0,0,0,0,0
1935002820096890_1937631219834050,1551805975083245_1935002820096890,,Pm me please 😍,2018-01-22 18:35:08,1,1,0,0,0,0,0,0
1935002820096890_1937641486499690,1551805975083245_1935002820096890,1935002820096890_1937631219834050,Hi Melisar! Pls check your inbox :),2018-01-22 19:10:04,0,0,0,0,0,0,0,0
1935002820096890_1941382922792213,1551805975083245_1935002820096890,,Wow. Finally. Pm me please.,2018-01-30 17:23:59,1,1,0,0,0,0,0,0
1935002820096890_1941383449458827,1551805975083245_1935002820096890,1935002820096890_1941382922792213,Hi! Pls check inbox :),2018-01-30 17:26:23,0,0,0,0,0,0,0,0
1935002820096890_1937398759857296,1551805975083245_1935002820096890,,Me please,2018-01-22 08:25:21,1,1,0,0,0,0,0,0
1935002820096890_1937399236523915,1551805975083245_1935002820096890,1935002820096890_1937398759857296,Hi! Please check your inbox :),2018-01-22 08:26:19,0,0,0,0,0,0,0,0
1935002820096890_1937386279858544,1551805975083245_1935002820096890,,Me pls,2018-01-22 08:03:07,1,1,0,0,0,0,0,0
1935002820096890_1937391663191339,1551805975083245_1935002820096890,1935002820096890_1937386279858544,Hi Geraldine! Pls check inbox :),2018-01-22 08:11:05,0,0,0,0,0,0,0,0
1935002820096890_1940616696202169,1551805975083245_1935002820096890,,me please,2018-01-29 02:57:07,1,1,0,0,0,0,0,0
1935002820096890_1940617169535455,1551805975083245_1935002820096890,1935002820096890_1940616696202169,Hi Jenny! Sent you the link. Pls check inbox :),2018-01-29 02:59:05,0,0,0,0,0,0,0,0
1935002820096890_1938537196410119,1551805975083245_1935002820096890,,Me please,2018-01-24 14:45:13,1,1,0,0,0,0,0,0
1935002820096890_1938541693076336,1551805975083245_1935002820096890,1935002820096890_1938537196410119,Hi Erica! Pls check your inbox :),2018-01-24 15:03:20,0,0,0,0,0,0,0,0
1935002820096890_1939738202956685,1551805975083245_1935002820096890,,Me please!,2018-01-27 04:17:28,1,1,0,0,0,0,0,0
1935002820096890_1939738796289959,1551805975083245_1935002820096890,1935002820096890_1939738202956685,Hi Madelene. Pls check your inbox :),2018-01-27 04:18:54,1,1,0,0,0,0,0,0
1935002820096890_1936344573296048,1551805975083245_1935002820096890,,Me please,2018-01-20 05:48:56,1,1,0,0,0,0,0,0
1935002820096890_1936397909957381,1551805975083245_1935002820096890,1935002820096890_1936344573296048,Hi Stanna! Pls check inbox :),2018-01-20 08:13:41,0,0,0,0,0,0,0,0
1935002820096890_1936397416624097,1551805975083245_1935002820096890,,Me please,2018-01-20 08:12:26,1,1,0,0,0,0,0,0
1935002820096890_1936397989957373,1551805975083245_1935002820096890,1935002820096890_1936397416624097,Hi! Pls check inbox :),2018-01-20 08:13:52,0,0,0,0,0,0,0,0
1935002820096890_1940263416237497,1551805975083245_1935002820096890,,Me please,2018-01-28 07:08:42,1,1,0,0,0,0,0,0
1935002820096890_1940307926233046,1551805975083245_1935002820096890,1935002820096890_1940263416237497,Hi Lilian! Please check your inbox! :),2018-01-28 09:16:32,0,0,0,0,0,0,0,0
